Start time,IFrame Retrieval(ms),Credential Check(ms),Token Retrieval(ms),Total Duration(ms),,,,,,3418,,,Total Duration(ms)
2019-05-22T12:04:21.406-0400,245,569,57,873,,,,,,,,,566
2019-05-22T12:04:22.280-0400,155,276,64,497,,,,,,,,,566
2019-05-22T12:04:22.777-0400,173,976,91,1241,,,,,,,,,566
2019-05-22T12:04:24.019-0400,267,389,58,716,,,,,,,,,566
2019-05-22T12:04:24.736-0400,169,412,65,647,,,,,,,,,567
2019-05-22T12:04:25.384-0400,187,305,58,552,,,,,,,,,567
2019-05-22T12:04:25.936-0400,168,624,82,877,,,,,,,,,567
2019-05-22T12:04:26.813-0400,266,383,96,746,,,,,,,,,567
2019-05-22T12:04:27.560-0400,201,293,59,555,,,,,,,,,567
2019-05-22T12:04:28.116-0400,197,307,63,567,,,,,,,,,567
2019-05-22T12:04:28.684-0400,181,851,81,1119,,,,,,,,,567
2019-05-22T12:04:29.803-0400,219,509,83,813,,,,,,,,,567
2019-05-22T12:04:30.617-0400,215,422,91,729,,,,,,,,,567
2019-05-22T12:04:31.347-0400,222,913,78,1219,,,,,,,,,567
2019-05-22T12:04:32.566-0400,275,353,77,708,,,,,,,,,568
2019-05-22T12:04:33.275-0400,197,281,136,618,,,,,,,,,568
2019-05-22T12:04:33.893-0400,226,1123,96,1460,,,,,,,,,568
2019-05-22T12:04:35.354-0400,259,449,85,794,,,,,,,,,568
2019-05-22T12:04:36.149-0400,244,487,97,843,,,,,,,,,568
2019-05-22T12:04:36.993-0400,253,868,103,1235,,,,,,,,,568
2019-05-22T12:04:38.228-0400,199,295,61,557,,,,,,,,,568
2019-05-22T12:04:38.785-0400,189,273,66,529,,,,,,,,,569
2019-05-22T12:04:39.315-0400,190,313,67,575,,,,,,,,,569
2019-05-22T12:04:39.891-0400,177,809,99,1087,,,,,,,,,569
2019-05-22T12:04:40.979-0400,841,388,89,1320,,,,,,,,,569
2019-05-22T12:04:42.299-0400,231,991,102,1326,,,,,,,,,569
2019-05-22T12:04:43.626-0400,282,383,82,750,,,,,,,,,570
2019-05-22T12:04:44.377-0400,201,321,101,625,,,,,,,,,570
2019-05-22T12:04:45.003-0400,228,968,87,1285,,,,,,,,,570
2019-05-22T12:04:46.288-0400,437,257,80,775,,,,,,,,,570
2019-05-22T12:04:47.064-0400,239,254,92,599,,,,,,,,,570
2019-05-22T12:04:47.663-0400,204,757,80,1044,,,,,,,,,571
