Start time,IFrame Retrieval(ms),Credential Check(ms),Token Retrieval(ms),Total Duration(ms),,,,,,
2019-05-23T09:54:15.112-0400,296,323,106,734,,,,,,
2019-05-23T09:54:15.846-0400,264,544,123,933,,,,,,
2019-05-23T09:54:16.780-0400,265,262,151,681,,,,,,
2019-05-23T09:54:17.461-0400,231,329,62,623,,,,,,
2019-05-23T09:54:18.084-0400,208,279,57,545,,,,,,
2019-05-23T09:54:18.630-0400,161,378,144,688,,,,,,
2019-05-23T09:54:19.319-0400,245,335,111,693,,,,,,
2019-05-23T09:54:20.012-0400,220,312,89,623,,,,,,
2019-05-23T09:54:20.636-0400,232,289,63,598,,,,,,
2019-05-23T09:54:21.234-0400,205,275,89,570,,,,,,
2019-05-23T09:54:21.805-0400,297,467,137,909,,,,,,
2019-05-23T09:54:22.714-0400,279,358,191,832,,,,,,
2019-05-23T09:54:23.547-0400,260,499,68,837,,,,,,
2019-05-23T09:54:24.385-0400,311,369,176,863,,,,,,
2019-05-23T09:54:25.248-0400,281,334,94,718,,,,,,
2019-05-23T09:54:25.967-0400,269,729,109,1108,,,,,,
2019-05-23T09:54:27.076-0400,301,518,111,934,,,,,,
2019-05-23T09:54:28.010-0400,290,415,89,800,,,,,,
2019-05-23T09:54:28.811-0400,328,489,139,959,,,,,,
2019-05-23T09:54:29.770-0400,254,529,92,876,,,,,,
2019-05-23T09:54:30.647-0400,261,463,104,830,,,,,,
2019-05-23T09:54:31.477-0400,240,469,73,784,,,,,,
2019-05-23T09:54:32.262-0400,222,253,249,728,,,,,,
2019-05-23T09:54:32.991-0400,218,327,59,606,,,,,,
2019-05-23T09:54:33.598-0400,223,936,92,1254,,,,,,
2019-05-23T09:54:34.852-0400,235,582,86,905,,,,,,
2019-05-23T09:54:35.757-0400,277,453,93,826,,,,,,
2019-05-23T09:54:36.584-0400,321,508,104,936,,,,,,
2019-05-23T09:54:37.521-0400,200,334,77,613,,,,,,
2019-05-23T09:54:38.135-0400,206,275,329,822,,,,,,
2019-05-23T09:54:38.957-0400,253,865,78,1198,,,,,,
2019-05-23T09:54:40.156-0400,234,287,280,806,,,,,,
2019-05-23T09:54:40.963-0400,297,302,84,685,,,,,,
2019-05-23T09:54:41.649-0400,302,685,92,1083,,,,,,
2019-05-23T09:54:42.732-0400,266,264,79,610,,,,,,
2019-05-23T09:54:43.343-0400,240,355,255,891,,,,,,
2019-05-23T09:54:44.234-0400,222,739,86,1055,,,,,,
2019-05-23T09:54:45.289-0400,251,475,1039,1767,,,,,,
2019-05-23T09:54:47.057-0400,261,302,159,724,,,,,,
2019-05-23T09:54:47.783-0400,251,354,292,913,,,,,,
2019-05-23T09:54:48.696-0400,184,516,93,795,,,,,,
2019-05-23T09:54:49.491-0400,265,425,177,870,,,,,,
2019-05-23T09:54:50.362-0400,207,336,150,694,,,,,,
2019-05-23T09:54:51.057-0400,200,239,501,951,,,,,,
2019-05-23T09:54:52.008-0400,253,491,176,934,,,,,,
2019-05-23T09:54:52.943-0400,235,559,67,863,,,,,,
2019-05-23T09:54:53.807-0400,223,484,115,824,,,,,,
2019-05-23T09:54:54.631-0400,238,726,288,1253,,,,,,
2019-05-23T09:54:55.885-0400,1241,872,80,2202,,,,,,
2019-05-23T09:54:58.088-0400,211,294,212,719,,,,,,
2019-05-23T09:54:58.807-0400,223,266,1311,1804,,,,,,
2019-05-23T09:55:00.612-0400,637,319,165,1124,,,,,,
2019-05-23T09:55:01.737-0400,210,969,118,1305,,,,,,
2019-05-23T09:55:03.042-0400,517,324,278,1125,,,,,,
2019-05-23T09:55:04.167-0400,239,855,86,1181,,,,,,
2019-05-23T09:55:05.348-0400,225,387,76,694,,,,,,
2019-05-23T09:55:06.043-0400,199,259,78,548,,,,,,
2019-05-23T09:55:06.592-0400,174,273,214,663,,,,,,
2019-05-23T09:55:07.255-0400,252,286,182,721,,,,,,
2019-05-23T09:55:07.977-0400,238,378,109,729,,,,,,
2019-05-23T09:55:08.707-0400,213,480,202,900,,,,,,
2019-05-23T09:55:09.607-0400,216,768,1189,2177,,,,,,
2019-05-23T09:55:11.784-0400,230,778,83,1092,,,,,,
2019-05-23T09:55:12.877-0400,231,1107,225,1564,,,,,,
2019-05-23T09:55:14.442-0400,377,691,1569,2640,,,,,,
2019-05-23T09:55:17.082-0400,249,741,96,1102,,,,,,
2019-05-23T09:55:18.185-0400,230,326,267,832,,,,,,
2019-05-23T09:55:19.017-0400,233,378,151,765,,,,,,
2019-05-23T09:55:19.783-0400,186,559,1180,1925,,,,,,
2019-05-23T09:55:21.709-0400,254,255,60,570,,,,,,
2019-05-23T09:55:22.279-0400,205,601,86,895,,,,,,
2019-05-23T09:55:23.175-0400,252,307,132,698,,,,,,
2019-05-23T09:55:23.873-0400,190,347,660,1198,,,,,,
2019-05-23T09:55:25.072-0400,233,310,101,648,,,,,,
2019-05-23T09:55:25.720-0400,235,478,240,954,,,,,,
2019-05-23T09:55:26.674-0400,245,572,91,913,,,,,,
2019-05-23T09:55:27.588-0400,212,354,527,1096,,,,,,
2019-05-23T09:55:28.684-0400,244,260,69,574,,,,,,
2019-05-23T09:55:29.258-0400,262,528,97,891,,,,,,
2019-05-23T09:55:30.150-0400,260,339,152,756,,,,,,
2019-05-23T09:55:30.907-0400,242,436,171,852,,,,,,
2019-05-23T09:55:31.759-0400,505,655,91,1265,,,,,,
2019-05-23T09:55:33.025-0400,676,318,62,1058,,,,,,
2019-05-23T09:55:34.083-0400,254,278,333,869,,,,,,
2019-05-23T09:55:34.952-0400,340,280,188,811,,,,,,
2019-05-23T09:55:35.764-0400,262,293,410,969,,,,,,
2019-05-23T09:55:36.733-0400,250,305,215,777,,,,,,
2019-05-23T09:55:37.510-0400,314,346,270,932,,,,,,
2019-05-23T09:55:38.442-0400,372,257,344,974,,,,,,
2019-05-23T09:55:39.417-0400,236,313,675,1226,,,,,,
2019-05-23T09:55:40.644-0400,1049,250,66,1366,,,,,,
2019-05-23T09:55:42.010-0400,178,984,2075,3239,,,,,,
2019-05-23T09:55:45.250-0400,251,356,66,681,,,,,,
2019-05-23T09:55:45.931-0400,818,283,293,1396,,,,,,
2019-05-23T09:55:47.327-0400,212,637,85,943,,,,,,
2019-05-23T09:55:48.271-0400,294,298,200,795,,,,,,
2019-05-23T09:55:49.067-0400,279,468,68,824,,,,,,
2019-05-23T09:55:49.891-0400,273,414,204,895,,,,,,
2019-05-23T09:55:50.786-0400,403,359,61,824,,,,,,
2019-05-23T09:55:51.611-0400,203,335,76,616,,,,,,
2019-05-23T09:55:52.228-0400,223,602,69,896,,,,,,
2019-05-23T09:55:53.125-0400,353,386,230,972,,,,,,
2019-05-23T09:55:54.098-0400,252,263,67,642,,,,,,
2019-05-23T09:55:54.741-0400,238,614,96,953,,,,,,
2019-05-23T09:55:55.695-0400,253,421,117,797,,,,,,
2019-05-23T09:55:56.492-0400,303,391,87,789,,,,,,
2019-05-23T09:55:57.282-0400,268,768,131,1168,,,,,,
2019-05-23T09:55:58.450-0400,237,446,99,785,,,,,,
